#Error on normalization	O = 2.601 %	H = 2.149 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	4.2521e-14	5.6704e-15
2.0619e+11	4.1947e-14	5.9915e-15
4.1237e+11	4.258e-14	6.5077e-15
6.1856e+11	4.5105e-14	6.7017e-15
8.2474e+11	4.4828e-14	6.8592e-15
1.0309e+12	4.1215e-14	7.3035e-15
1.2371e+12	4.0857e-14	7.6375e-15
1.4433e+12	4.6061e-14	7.6368e-15
1.6495e+12	5.0268e-14	7.8207e-15
1.8557e+12	4.8629e-14	8.409e-15
2.0619e+12	4.5689e-14	8.994e-15
2.268e+12	4.8561e-14	9.4153e-15
2.4742e+12	5.6198e-14	9.6419e-15
2.6804e+12	6.0618e-14	9.5419e-15
2.8866e+12	5.893e-14	9.7255e-15
3.0928e+12	5.7354e-14	1.0747e-14
3.299e+12	6.0298e-14	1.1386e-14
3.5052e+12	6.3502e-14	1.0607e-14
3.7113e+12	6.2199e-14	1.007e-14
3.9175e+12	5.8186e-14	1.1206e-14
4.1237e+12	5.5508e-14	1.2316e-14
4.3299e+12	5.5334e-14	1.1886e-14
4.5361e+12	5.6183e-14	1.1199e-14
4.7423e+12	5.6079e-14	1.1302e-14
4.9485e+12	5.5573e-14	1.1482e-14
5.1546e+12	5.7642e-14	1.1614e-14
5.3608e+12	6.2023e-14	1.2221e-14
5.567e+12	6.4596e-14	1.2856e-14
5.7732e+12	6.4828e-14	1.308e-14
5.9794e+12	6.6205e-14	1.3207e-14
6.1856e+12	6.8407e-14	1.3252e-14
6.3918e+12	6.7668e-14	1.3362e-14
6.5979e+12	6.4052e-14	1.4181e-14
6.8041e+12	6.1308e-14	1.5149e-14
7.0103e+12	6.1184e-14	1.5054e-14
7.2165e+12	6.1609e-14	1.45e-14
7.4227e+12	5.9876e-14	1.4514e-14
7.6289e+12	5.7513e-14	1.4376e-14
7.8351e+12	5.8593e-14	1.3887e-14
8.0412e+12	6.1014e-14	1.4333e-14
8.2474e+12	5.9513e-14	1.5413e-14
8.4536e+12	5.873e-14	1.5696e-14
8.6598e+12	6.5115e-14	1.5863e-14
8.866e+12	6.9108e-14	1.671e-14
9.0722e+12	6.1134e-14	1.6478e-14
9.2784e+12	5.3751e-14	1.4604e-14
9.4845e+12	5.7922e-14	1.3925e-14
9.6907e+12	6.0101e-14	1.5731e-14
9.8969e+12	5.2297e-14	1.7413e-14
1.0103e+13	5.018e-14	1.7133e-14
1.0309e+13	5.8103e-14	1.635e-14
1.0515e+13	5.9957e-14	1.6721e-14
1.0722e+13	5.5765e-14	1.7776e-14
1.0928e+13	5.8823e-14	1.8103e-14
1.1134e+13	6.1836e-14	1.7264e-14
1.134e+13	5.3856e-14	1.6217e-14
1.1546e+13	4.8989e-14	1.6e-14
1.1753e+13	5.7086e-14	1.6624e-14
1.1959e+13	6.1084e-14	1.7715e-14
1.2165e+13	5.2301e-14	1.8919e-14
1.2371e+13	4.5583e-14	1.9271e-14
1.2577e+13	4.6353e-14	1.8186e-14
1.2784e+13	4.5763e-14	1.6917e-14
1.299e+13	4.5231e-14	1.6883e-14
1.3196e+13	4.8706e-14	1.7652e-14
1.3402e+13	4.7506e-14	1.821e-14
1.3608e+13	3.8986e-14	1.8405e-14
1.3814e+13	3.4909e-14	1.8305e-14
1.4021e+13	3.8214e-14	1.809e-14
1.4227e+13	3.8969e-14	1.8191e-14
1.4433e+13	3.458e-14	1.836e-14
1.4639e+13	3.0704e-14	1.8111e-14
1.4845e+13	2.9153e-14	1.798e-14
1.5052e+13	2.9157e-14	1.8202e-14
1.5258e+13	3.0114e-14	1.7894e-14
1.5464e+13	2.9784e-14	1.7429e-14
1.567e+13	2.8692e-14	1.8218e-14
1.5876e+13	2.9675e-14	1.9317e-14
1.6082e+13	2.9717e-14	1.8839e-14
1.6289e+13	2.5616e-14	1.7923e-14
1.6495e+13	2.3405e-14	1.825e-14
1.6701e+13	2.6644e-14	1.8407e-14
1.6907e+13	2.731e-14	1.7445e-14
1.7113e+13	2.162e-14	1.751e-14
1.732e+13	1.7541e-14	1.916e-14
1.7526e+13	1.8591e-14	1.9702e-14
1.7732e+13	1.9175e-14	1.8404e-14
1.7938e+13	1.7404e-14	1.7429e-14
1.8144e+13	1.5985e-14	1.7206e-14
1.8351e+13	1.5048e-14	1.6514e-14
1.8557e+13	1.4731e-14	1.6003e-14
1.8763e+13	1.6016e-14	1.6852e-14
1.8969e+13	1.6004e-14	1.8044e-14
1.9175e+13	1.2819e-14	1.8249e-14
1.9381e+13	1.0937e-14	1.7785e-14
1.9588e+13	1.2455e-14	1.7226e-14
1.9794e+13	1.2793e-14	1.6854e-14
2e+13	1.0697e-14	1.7218e-14
2.0206e+13	1.0128e-14	1.7804e-14
2.0412e+13	1.0984e-14	1.7096e-14
2.0619e+13	1.0111e-14	1.5686e-14
2.0825e+13	8.6018e-15	1.5833e-14
2.1031e+13	8.6654e-15	1.7095e-14
2.1237e+13	8.9152e-15	1.7025e-14
2.1443e+13	8.2066e-15	1.6012e-14
2.1649e+13	7.5938e-15	1.6114e-14
2.1856e+13	7.1956e-15	1.651e-14
2.2062e+13	6.605e-15	1.5539e-14
2.2268e+13	6.3932e-15	1.4644e-14
2.2474e+13	6.2028e-15	1.5342e-14
2.268e+13	5.2655e-15	1.5979e-14
2.2887e+13	4.8035e-15	1.5323e-14
2.3093e+13	5.6385e-15	1.4896e-14
2.3299e+13	6.0469e-15	1.5385e-14
2.3505e+13	5.2572e-15	1.5517e-14
2.3711e+13	4.8042e-15	1.5169e-14
2.3918e+13	5.0072e-15	1.5168e-14
2.4124e+13	4.8142e-15	1.4938e-14
2.433e+13	4.5002e-15	1.3928e-14
2.4536e+13	4.5375e-15	1.3311e-14
2.4742e+13	4.1391e-15	1.3916e-14
2.4948e+13	3.3979e-15	1.4885e-14
2.5155e+13	3.4636e-15	1.5372e-14
2.5361e+13	3.8999e-15	1.5407e-14
2.5567e+13	3.5388e-15	1.5149e-14
2.5773e+13	3.0388e-15	1.4683e-14
2.5979e+13	3.3281e-15	1.4152e-14
2.6186e+13	3.5742e-15	1.3761e-14
2.6392e+13	3.1374e-15	1.3849e-14
2.6598e+13	2.8925e-15	1.4214e-14
2.6804e+13	3.1601e-15	1.3955e-14
2.701e+13	3.0681e-15	1.3145e-14
2.7216e+13	2.5553e-15	1.3022e-14
2.7423e+13	2.5131e-15	1.3602e-14
2.7629e+13	2.9519e-15	1.3683e-14
2.7835e+13	3.0777e-15	1.332e-14
2.8041e+13	2.817e-15	1.3327e-14
2.8247e+13	2.6861e-15	1.3414e-14
2.8454e+13	2.6891e-15	1.3284e-14
2.866e+13	2.5322e-15	1.329e-14
2.8866e+13	2.3377e-15	1.2932e-14
2.9072e+13	2.2968e-15	1.1883e-14
2.9278e+13	2.2494e-15	1.1584e-14
2.9485e+13	2.1508e-15	1.2478e-14
2.9691e+13	2.2237e-15	1.2732e-14
2.9897e+13	2.3587e-15	1.2288e-14
3.0103e+13	2.2069e-15	1.3085e-14
3.0309e+13	1.9315e-15	1.415e-14
3.0515e+13	1.9724e-15	1.2946e-14
3.0722e+13	2.2198e-15	1.1046e-14
3.0928e+13	2.2771e-15	1.1509e-14
3.1134e+13	2.1741e-15	1.2908e-14
3.134e+13	2.1026e-15	1.2463e-14
3.1546e+13	1.9786e-15	1.1367e-14
3.1753e+13	1.7895e-15	1.1573e-14
3.1959e+13	1.7628e-15	1.1854e-14
3.2165e+13	1.8954e-15	1.1077e-14
3.2371e+13	1.9087e-15	1.065e-14
3.2577e+13	1.7541e-15	1.1213e-14
3.2784e+13	1.654e-15	1.1381e-14
3.299e+13	1.6918e-15	1.0924e-14
3.3196e+13	1.742e-15	1.1126e-14
3.3402e+13	1.7202e-15	1.183e-14
3.3608e+13	1.6683e-15	1.1795e-14
3.3814e+13	1.642e-15	1.1366e-14
3.4021e+13	1.6222e-15	1.1562e-14
3.4227e+13	1.5539e-15	1.1717e-14
3.4433e+13	1.4501e-15	1.0927e-14
3.4639e+13	1.3906e-15	1.0128e-14
3.4845e+13	1.4177e-15	1.0329e-14
3.5052e+13	1.5045e-15	1.093e-14
3.5258e+13	1.5896e-15	1.1289e-14
3.5464e+13	1.6013e-15	1.1488e-14
3.567e+13	1.5235e-15	1.1263e-14
3.5876e+13	1.4336e-15	1.0695e-14
3.6082e+13	1.3903e-15	1.081e-14
3.6289e+13	1.3587e-15	1.1373e-14
3.6495e+13	1.311e-15	1.0826e-14
3.6701e+13	1.2742e-15	9.6355e-15
3.6907e+13	1.2685e-15	9.7827e-15
3.7113e+13	1.314e-15	1.0895e-14
3.732e+13	1.4143e-15	1.1173e-14
3.7526e+13	1.4634e-15	1.0823e-14
3.7732e+13	1.3699e-15	1.0816e-14
3.7938e+13	1.2654e-15	1.0834e-14
3.8144e+13	1.3137e-15	1.0783e-14
3.8351e+13	1.4245e-15	1.1087e-14
3.8557e+13	1.4521e-15	1.1077e-14
3.8763e+13	1.4582e-15	1.0348e-14
3.8969e+13	1.5058e-15	1.0197e-14
3.9175e+13	1.496e-15	1.1096e-14
3.9381e+13	1.4038e-15	1.1621e-14
3.9588e+13	1.3432e-15	1.1218e-14
3.9794e+13	1.3296e-15	1.0821e-14
4e+13	1.2897e-15	1.0745e-14
4.0206e+13	1.2436e-15	1.059e-14
4.0412e+13	1.2283e-15	1.0283e-14
4.0619e+13	1.2174e-15	9.9931e-15
4.0825e+13	1.2362e-15	1.0135e-14
4.1031e+13	1.3068e-15	1.0891e-14
