#Error on normalization	O = -1.279 %	H = 3.679 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	9.492e-16	7.8668e-17
1.5023e+11	-2.0643e-16	8.9934e-18
3.0045e+11	-6.0142e-16	-1.6428e-17
4.5068e+11	8.1855e-16	6.8358e-17
6.009e+11	2.5914e-16	3.7355e-17
7.5113e+11	-8.1891e-16	-2.8538e-17
9.0135e+11	5.0044e-16	4.6855e-17
1.0516e+12	7.5267e-16	6.6352e-17
1.2018e+12	-7.844e-16	-1.8801e-17
1.352e+12	1.1508e-17	2.8352e-17
1.5023e+12	1.1593e-15	9.8859e-17
1.6525e+12	-4.1438e-16	1.0932e-17
1.8027e+12	-5.7526e-16	-3.1365e-18
1.9529e+12	1.2476e-15	1.0009e-16
2.1032e+12	2.4795e-16	5.1775e-17
2.2534e+12	-1.02e-15	-1.4496e-17
2.4036e+12	9.7209e-16	9.8429e-17
2.5538e+12	1.1353e-15	1.1012e-16
2.7041e+12	-9.1514e-16	-6.9382e-18
2.8543e+12	7.4761e-16	7.9089e-17
3.0045e+12	2.2481e-15	1.7131e-16
3.1547e+12	-7.9532e-16	2.2811e-17
3.305e+12	-3.8481e-16	4.7652e-17
3.4552e+12	3.851e-15	2.7443e-16
3.6054e+12	1.362e-15	1.5082e-16
3.7556e+12	-2.4358e-15	-5.1963e-17
3.9059e+12	2.4025e-15	1.8953e-16
4.0561e+12	4.587e-15	3.1315e-16
4.2063e+12	3.3181e-15	2.5758e-16
4.3565e+12	2.4399e-14	1.2851e-15
4.5068e+12	6.0181e-14	3.0196e-15
4.657e+12	6.1e-14	3.0519e-15
4.8072e+12	2.2994e-14	1.2213e-15
4.9574e+12	2.3426e-16	1.3836e-16
5.1077e+12	9.133e-15	5.6579e-16
5.2579e+12	1.2719e-14	7.3355e-16
5.4081e+12	1.3849e-15	2.0035e-16
5.5583e+12	-5.3087e-16	1.2063e-16
5.7086e+12	6.1428e-15	4.4826e-16
5.8588e+12	4.8716e-15	3.9543e-16
6.009e+12	2.7066e-15	2.8171e-16
6.1592e+12	7.5728e-15	4.8885e-16
6.3095e+12	7.7021e-15	4.8613e-16
6.4597e+12	2.6611e-15	2.4578e-16
6.6099e+12	6.8543e-15	4.2561e-16
6.7601e+12	1.4965e-14	7.8288e-16
6.9104e+12	1.1745e-14	6.2878e-16
7.0606e+12	4.6124e-15	3.4336e-16
7.2108e+12	5.4269e-15	4.6063e-16
7.361e+12	6.5021e-15	5.2599e-16
7.5113e+12	3.6032e-15	3.4184e-16
7.6615e+12	5.6395e-15	4.5795e-16
7.8117e+12	8.9565e-15	7.019e-16
7.9619e+12	3.8672e-15	4.9192e-16
8.1122e+12	-7.272e-17	3.1797e-16
8.2624e+12	4.7645e-15	5.9912e-16
8.4126e+12	5.2497e-15	5.7235e-16
8.5628e+12	5.6966e-16	2.3621e-16
8.7131e+12	7.0734e-15	6.362e-16
8.8633e+12	1.5623e-14	1.196e-15
9.0135e+12	6.9856e-15	6.6232e-16
9.1637e+12	2.8882e-15	4.1591e-16
9.314e+12	2.8855e-14	2.1377e-15
9.4642e+12	5.4497e-14	3.8583e-15
9.6144e+12	4.393e-14	3.1697e-15
9.7646e+12	2.0224e-14	1.5147e-15
9.9149e+12	1.8425e-14	1.1911e-15
1.0065e+13	3.0211e-14	1.7406e-15
1.0215e+13	3.5638e-14	2.0089e-15
1.0366e+13	3.5535e-14	2.1019e-15
1.0516e+13	3.9166e-14	2.4046e-15
1.0666e+13	5.891e-14	3.4082e-15
1.0816e+13	9.8395e-14	5.3214e-15
1.0966e+13	1.2773e-13	6.5759e-15
1.1117e+13	1.1536e-13	5.6004e-15
1.1267e+13	8.0558e-14	3.7541e-15
1.1417e+13	6.0215e-14	3.0416e-15
1.1567e+13	5.2861e-14	2.946e-15
1.1718e+13	4.5396e-14	2.5573e-15
1.1868e+13	4.5286e-14	2.4719e-15
1.2018e+13	5.0729e-14	2.7064e-15
1.2168e+13	4.6253e-14	2.4767e-15
1.2318e+13	3.7756e-14	2.1638e-15
1.2469e+13	3.831e-14	2.2738e-15
1.2619e+13	3.8079e-14	2.1491e-15
1.2769e+13	3.071e-14	1.7612e-15
1.2919e+13	2.9979e-14	1.9071e-15
1.307e+13	3.6156e-14	2.1849e-15
1.322e+13	3.3936e-14	1.8817e-15
1.337e+13	2.624e-14	1.6544e-15
1.352e+13	2.5187e-14	1.8917e-15
1.3671e+13	2.5538e-14	1.8435e-15
1.3821e+13	2.0246e-14	1.5215e-15
1.3971e+13	1.6642e-14	1.6237e-15
1.4121e+13	2.0012e-14	1.9048e-15
1.4271e+13	2.5327e-14	1.9629e-15
1.4422e+13	2.692e-14	2.0867e-15
1.4572e+13	2.2671e-14	2.1605e-15
1.4722e+13	1.6991e-14	1.8833e-15
1.4872e+13	1.8177e-14	1.7946e-15
1.5023e+13	2.3162e-14	2.1273e-15
1.5173e+13	2.1747e-14	2.1936e-15
1.5323e+13	1.8964e-14	2.0137e-15
1.5473e+13	2.5409e-14	2.2846e-15
1.5623e+13	3.315e-14	2.7413e-15
1.5774e+13	3.1809e-14	2.7548e-15
1.5924e+13	2.965e-14	2.5527e-15
1.6074e+13	3.3467e-14	2.41e-15
1.6224e+13	3.4248e-14	2.2026e-15
1.6375e+13	2.7937e-14	2.1123e-15
1.6525e+13	2.2805e-14	2.2633e-15
1.6675e+13	2.2144e-14	2.2978e-15
1.6825e+13	2.1599e-14	2.1613e-15
1.6975e+13	1.9641e-14	2.1127e-15
1.7126e+13	1.8304e-14	2.0445e-15
1.7276e+13	1.9116e-14	1.9067e-15
1.7426e+13	2.0627e-14	1.9178e-15
1.7576e+13	1.9262e-14	1.9431e-15
1.7727e+13	1.6942e-14	1.904e-15
1.7877e+13	1.9715e-14	2.1798e-15
1.8027e+13	2.4481e-14	2.5878e-15
1.8177e+13	2.4107e-14	2.5228e-15
1.8327e+13	2.313e-14	2.3389e-15
1.8478e+13	2.6797e-14	2.6116e-15
1.8628e+13	2.9163e-14	2.8877e-15
1.8778e+13	3.0625e-14	2.905e-15
1.8928e+13	3.9272e-14	3.1816e-15
1.9079e+13	4.7616e-14	3.5266e-15
1.9229e+13	4.6066e-14	3.407e-15
1.9379e+13	4.8411e-14	3.4363e-15
1.9529e+13	6.2171e-14	4.0877e-15
1.968e+13	6.5381e-14	4.4349e-15
1.983e+13	5.0244e-14	3.9659e-15
1.998e+13	4.0803e-14	3.4881e-15
2.013e+13	4.2873e-14	3.4261e-15
2.028e+13	3.643e-14	3.3718e-15
2.0431e+13	2.4193e-14	3.1902e-15
2.0581e+13	2.5628e-14	3.0526e-15
2.0731e+13	3.3712e-14	3.0306e-15
2.0881e+13	3.1604e-14	3.1569e-15
2.1032e+13	2.6812e-14	3.27e-15
2.1182e+13	2.995e-14	3.2301e-15
2.1332e+13	3.3137e-14	3.2998e-15
2.1482e+13	3.0823e-14	3.4602e-15
2.1632e+13	2.875e-14	3.3064e-15
2.1783e+13	2.7466e-14	3.228e-15
2.1933e+13	2.3591e-14	3.8041e-15
2.2083e+13	2.0491e-14	4.2501e-15
2.2233e+13	2.1589e-14	3.8246e-15
2.2384e+13	2.4808e-14	3.4448e-15
2.2534e+13	2.7899e-14	3.763e-15
2.2684e+13	2.8625e-14	3.9602e-15
2.2834e+13	2.5146e-14	3.7498e-15
2.2984e+13	2.2101e-14	3.8325e-15
2.3135e+13	2.5531e-14	4.2302e-15
2.3285e+13	3.2117e-14	4.5381e-15
2.3435e+13	3.4677e-14	4.8355e-15
2.3585e+13	3.2985e-14	5.0249e-15
2.3736e+13	3.1441e-14	4.9109e-15
2.3886e+13	3.3536e-14	4.938e-15
2.4036e+13	4.008e-14	5.3109e-15
2.4186e+13	4.6137e-14	5.5137e-15
2.4337e+13	4.5272e-14	5.4649e-15
2.4487e+13	4.1032e-14	5.5158e-15
2.4637e+13	4.2942e-14	5.6241e-15
2.4787e+13	5.0189e-14	5.7885e-15
2.4937e+13	5.3923e-14	6.0965e-15
2.5088e+13	5.3519e-14	6.199e-15
2.5238e+13	5.5011e-14	6.1879e-15
2.5388e+13	5.7801e-14	6.7256e-15
2.5538e+13	5.7108e-14	7.4266e-15
2.5689e+13	5.3855e-14	7.3928e-15
2.5839e+13	5.1256e-14	6.9804e-15
2.5989e+13	4.888e-14	6.7794e-15
2.6139e+13	4.7416e-14	6.7813e-15
2.6289e+13	5.0346e-14	7.5697e-15
2.644e+13	5.6438e-14	9.1889e-15
2.659e+13	6.0016e-14	9.9364e-15
2.674e+13	5.9657e-14	9.5081e-15
2.689e+13	5.7871e-14	9.8037e-15
2.7041e+13	5.5815e-14	1.0737e-14
2.7191e+13	5.6071e-14	1.0689e-14
2.7341e+13	6.2285e-14	1.051e-14
2.7491e+13	6.9796e-14	1.1236e-14
2.7641e+13	6.8327e-14	1.1415e-14
2.7792e+13	5.7569e-14	1.1027e-14
2.7942e+13	4.7527e-14	1.1934e-14
2.8092e+13	4.4373e-14	1.3356e-14
2.8242e+13	4.7284e-14	1.3907e-14
2.8393e+13	5.3039e-14	1.5012e-14
2.8543e+13	5.4958e-14	1.6532e-14
2.8693e+13	4.7248e-14	1.6067e-14
2.8843e+13	3.5116e-14	1.5203e-14
2.8993e+13	2.959e-14	1.7159e-14
2.9144e+13	3.2475e-14	1.9908e-14
2.9294e+13	3.5912e-14	2.0414e-14
2.9444e+13	3.3413e-14	2.0037e-14
2.9594e+13	2.6155e-14	2.0244e-14
2.9745e+13	2.1901e-14	2.0606e-14
2.9895e+13	2.5629e-14	2.1247e-14
3.0045e+13	3.01e-14	2.1088e-14
3.0195e+13	2.5753e-14	1.9365e-14
3.0346e+13	1.7355e-14	1.9882e-14
3.0496e+13	1.5332e-14	2.3554e-14
3.0646e+13	1.7744e-14	2.3814e-14
3.0796e+13	1.7565e-14	2.0761e-14
3.0946e+13	1.6086e-14	2.3466e-14
3.1097e+13	1.5552e-14	3.0002e-14
3.1247e+13	1.3361e-14	2.9514e-14
