#Error on normalization	O = 6.114 %	H = -2.649 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	4.7909e-15	4.8459e-16
2.7755e+10	3.9109e-15	3.9676e-16
5.5509e+10	1.6006e-15	1.6632e-16
8.3264e+10	-1.2746e-15	-1.2003e-16
1.1102e+11	-3.6369e-15	-3.5467e-16
1.3877e+11	-4.599e-15	-4.4961e-16
1.6653e+11	-3.7971e-15	-3.6967e-16
1.9428e+11	-1.5269e-15	-1.4571e-16
2.2204e+11	1.3652e-15	1.3711e-16
2.4979e+11	3.7977e-15	3.7151e-16
2.7755e+11	4.8589e-15	4.6864e-16
3.053e+11	4.1478e-15	3.9167e-16
3.3306e+11	1.9261e-15	1.6972e-16
3.6081e+11	-9.7752e-16	-1.1317e-16
3.8857e+11	-3.4759e-15	-3.4977e-16
4.1632e+11	-4.629e-15	-4.5025e-16
4.4407e+11	-3.9963e-15	-3.7616e-16
4.7183e+11	-1.804e-15	-1.5505e-16
4.9958e+11	1.137e-15	1.2986e-16
5.2734e+11	3.7319e-15	3.7107e-16
5.5509e+11	5.0101e-15	4.7745e-16
5.8285e+11	4.4889e-15	4.0866e-16
6.106e+11	2.357e-15	1.9058e-16
6.3836e+11	-5.9304e-16	-9.4432e-17
6.6611e+11	-3.2581e-15	-3.3852e-16
6.9387e+11	-4.6357e-15	-4.4911e-16
7.2162e+11	-4.2002e-15	-3.8391e-16
7.4938e+11	-2.1026e-15	-1.6703e-16
7.7713e+11	8.8168e-16	1.1997e-16
8.0488e+11	3.6396e-15	3.6879e-16
8.3264e+11	5.1353e-15	4.8531e-16
8.6039e+11	4.8002e-15	4.2525e-16
8.8815e+11	2.7499e-15	2.1105e-16
9.159e+11	-2.5231e-16	-7.6364e-17
9.4366e+11	-3.0764e-15	-3.2798e-16
9.7141e+11	-4.6461e-15	-4.4789e-16
9.9917e+11	-4.3446e-15	-3.896e-16
1.0269e+12	-2.2514e-15	-1.739e-16
1.0547e+12	8.7878e-16	1.187e-16
1.0824e+12	3.8907e-15	3.7814e-16
1.1102e+12	5.6572e-15	5.0631e-16
1.1379e+12	5.5032e-15	4.5426e-16
1.1657e+12	3.4653e-15	2.4104e-16
1.1934e+12	2.8898e-16	-5.3055e-17
1.2212e+12	-2.8409e-15	-3.1646e-16
1.249e+12	-4.738e-15	-4.4833e-16
1.2767e+12	-4.6598e-15	-3.9681e-16
1.3045e+12	-2.5946e-15	-1.7912e-16
1.3322e+12	7.2178e-16	1.2435e-16
1.36e+12	4.0688e-15	3.9976e-16
1.3877e+12	6.1902e-15	5.4257e-16
1.4155e+12	6.2658e-15	4.9712e-16
1.4432e+12	4.2282e-15	2.7816e-16
1.471e+12	8.0409e-16	-3.3796e-17
1.4988e+12	-2.741e-15	-3.2209e-16
1.5265e+12	-5.0659e-15	-4.7736e-16
1.5543e+12	-5.2551e-15	-4.3876e-16
1.582e+12	-3.1719e-15	-2.1746e-16
1.6098e+12	4.7205e-16	1.0675e-16
1.6375e+12	4.3634e-15	4.1454e-16
1.6653e+12	7.0662e-15	5.9147e-16
1.693e+12	7.5586e-15	5.7104e-16
1.7208e+12	5.6286e-15	3.6043e-16
1.7485e+12	1.9768e-15	3.8773e-17
1.7763e+12	-2.0222e-15	-2.7154e-16
1.8041e+12	-4.8188e-15	-4.5036e-16
1.8318e+12	-5.2704e-15	-4.2524e-16
1.8596e+12	-3.0898e-15	-1.9979e-16
1.8873e+12	1.0121e-15	1.4593e-16
1.9151e+12	5.5552e-15	4.8375e-16
1.9428e+12	8.8189e-15	6.8456e-16
1.9706e+12	9.484e-15	6.669e-16
1.9983e+12	7.1536e-15	4.2914e-16
2.0261e+12	2.5509e-15	5.2669e-17
2.0538e+12	-2.6946e-15	-3.2582e-16
2.0816e+12	-6.6126e-15	-5.6352e-16
2.1094e+12	-7.6162e-15	-5.6465e-16
2.1371e+12	-5.1235e-15	-3.1793e-16
2.1649e+12	1.6255e-16	9.5853e-17
2.1926e+12	6.438e-15	5.3015e-16
2.2204e+12	1.1407e-14	8.2434e-16
2.2481e+12	1.3115e-14	8.6286e-16
2.2759e+12	1.0715e-14	6.2046e-16
2.3036e+12	4.873e-15	1.7659e-16
2.3314e+12	-2.3557e-15	-3.0799e-16
2.3591e+12	-8.1857e-15	-6.4556e-16
2.3869e+12	-1.0087e-14	-6.8905e-16
2.4147e+12	-6.7679e-15	-3.8931e-16
2.4424e+12	1.1973e-15	1.7881e-16
2.4702e+12	1.137e-14	8.3285e-16
2.4979e+12	2.0131e-14	1.3388e-15
2.5257e+12	2.3874e-14	1.4904e-15
2.5534e+12	2.0357e-14	1.1862e-15
2.5812e+12	9.7552e-15	4.7916e-16
2.6089e+12	-4.9762e-15	-4.1986e-16
2.6367e+12	-1.8608e-14	-1.1887e-15
2.6644e+12	-2.4951e-14	-1.4795e-15
2.6922e+12	-1.8627e-14	-1.0193e-15
2.72e+12	3.2026e-15	3.0361e-16
2.7477e+12	3.9693e-14	2.3937e-15
2.7755e+12	8.6128e-14	4.9566e-15
2.8032e+12	1.3481e-13	7.5619e-15
2.831e+12	1.7682e-13	9.7431e-15
2.8587e+12	2.042e-13	1.1108e-14
2.8865e+12	2.119e-13	1.1433e-14
2.9142e+12	1.9904e-13	1.0705e-14
2.942e+12	1.6904e-13	9.1228e-15
2.9697e+12	1.2863e-13	7.0355e-15
2.9975e+12	8.6099e-14	4.8524e-15
3.0253e+12	4.9157e-14	2.9451e-15
3.053e+12	2.3147e-14	1.5675e-15
3.0808e+12	1.0033e-14	8.1445e-16
3.1085e+12	8.3978e-15	6.2642e-16
3.1363e+12	1.4397e-14	8.3471e-16
3.164e+12	2.3302e-14	1.2302e-15
3.1918e+12	3.1115e-14	1.6334e-15
3.2195e+12	3.5747e-14	1.9451e-15
3.2473e+12	3.7414e-14	2.1627e-15
3.275e+12	3.8178e-14	2.3619e-15
3.3028e+12	4.0847e-14	2.6504e-15
3.3306e+12	4.7646e-14	3.1123e-15
3.3583e+12	5.9135e-14	3.7621e-15
3.3861e+12	7.3773e-14	4.5247e-15
3.4138e+12	8.8259e-14	5.2485e-15
3.4416e+12	9.8563e-14	5.7487e-15
3.4693e+12	1.0127e-13	5.865e-15
3.4971e+12	9.4797e-14	5.5179e-15
3.5248e+12	8.0028e-14	4.7409e-15
3.5526e+12	6.0187e-14	3.6807e-15
3.5803e+12	3.9907e-14	2.5598e-15
3.6081e+12	2.3847e-14	1.6157e-15
3.6359e+12	1.527e-14	1.0317e-15
3.6636e+12	1.5066e-14	8.8415e-16
3.6914e+12	2.1548e-14	1.1214e-15
3.7191e+12	3.1084e-14	1.5831e-15
3.7469e+12	3.9382e-14	2.0542e-15
3.7746e+12	4.298e-14	2.3377e-15
3.8024e+12	4.0466e-14	2.322e-15
3.8301e+12	3.3006e-14	2.0208e-15
3.8579e+12	2.399e-14	1.5716e-15
3.8857e+12	1.7914e-14	1.1919e-15
3.9134e+12	1.8845e-14	1.1064e-15
3.9412e+12	2.8985e-14	1.4685e-15
3.9689e+12	4.7826e-14	2.3025e-15
3.9967e+12	7.2166e-14	3.487e-15
4.0244e+12	9.7037e-14	4.7865e-15
4.0522e+12	1.1723e-13	5.9225e-15
4.0799e+12	1.2892e-13	6.6621e-15
4.1077e+12	1.3094e-13	6.8953e-15
4.1354e+12	1.2512e-13	6.6736e-15
4.1632e+12	1.1574e-13	6.1976e-15
4.191e+12	1.0818e-13	5.7543e-15
4.2187e+12	1.0715e-13	5.624e-15
4.2465e+12	1.1521e-13	5.9878e-15
4.2742e+12	1.3189e-13	6.8643e-15
4.302e+12	1.5387e-13	8.0999e-15
4.3297e+12	1.76e-13	9.4146e-15
4.3575e+12	1.93e-13	1.049e-14
4.3852e+12	2.0106e-13	1.1072e-14
4.413e+12	1.9906e-13	1.1049e-14
