#Error on normalization	O = 0.421 %	H = 2.561 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	2.0341e-15	6.7812e-15
3.0006e+10	1.1707e-15	6.9393e-15
6.0012e+10	-1.7416e-16	7.1578e-15
9.0018e+10	-3.2605e-16	7.2291e-15
1.2002e+11	2.2612e-16	7.4091e-15
1.5003e+11	1.645e-16	7.7143e-15
1.8004e+11	-1.8961e-16	7.7174e-15
2.1004e+11	2.7083e-17	7.4987e-15
2.4005e+11	2.9054e-16	7.6125e-15
2.7005e+11	5.041e-17	7.8519e-15
3.0006e+11	-2.822e-17	7.5954e-15
3.3007e+11	2.5167e-16	7.2982e-15
3.6007e+11	1.9929e-16	7.694e-15
3.9008e+11	-1.4544e-17	8.0671e-15
4.2008e+11	1.9281e-16	7.5407e-15
4.5009e+11	3.8238e-16	6.9127e-15
4.801e+11	2.2485e-16	7.0061e-15
5.101e+11	2.3566e-16	7.1309e-15
5.4011e+11	3.6854e-16	6.9912e-15
5.7011e+11	2.1153e-16	7.3472e-15
6.0012e+11	1.8413e-16	7.7636e-15
6.3013e+11	4.705e-16	7.1833e-15
6.6013e+11	4.3886e-16	6.6173e-15
6.9014e+11	2.1412e-16	7.3629e-15
7.2014e+11	4.5859e-16	8.0171e-15
7.5015e+11	8.205e-16	7.1849e-15
7.8016e+11	7.7943e-16	6.4418e-15
8.1016e+11	6.4497e-16	7.1456e-15
8.4017e+11	5.7551e-16	7.8489e-15
8.7017e+11	4.9418e-16	7.3784e-15
9.0018e+11	6.4534e-16	6.7589e-15
9.3019e+11	8.4537e-16	6.8745e-15
9.6019e+11	8.2258e-16	7.3812e-15
9.902e+11	1.1817e-15	7.8066e-15
1.0202e+12	1.7998e-15	7.7761e-15
1.0502e+12	1.4524e-15	7.292e-15
1.0802e+12	7.4352e-16	7.1047e-15
1.1102e+12	1.3148e-15	7.3372e-15
1.1402e+12	2.1315e-15	7.1897e-15
1.1702e+12	1.6794e-15	7.0234e-15
1.2002e+12	1.3778e-15	7.7884e-15
1.2302e+12	2.0539e-15	8.4684e-15
1.2603e+12	2.0803e-15	7.8276e-15
1.2903e+12	1.8844e-15	7.0983e-15
1.3203e+12	3.2847e-15	7.3697e-15
1.3503e+12	4.4275e-15	7.4866e-15
1.3803e+12	3.0903e-15	7.0742e-15
1.4103e+12	1.7418e-15	7.3187e-15
1.4403e+12	2.5584e-15	7.8593e-15
1.4703e+12	3.3178e-15	7.5468e-15
1.5003e+12	2.7068e-15	7.2398e-15
1.5303e+12	2.5139e-15	7.7851e-15
1.5603e+12	3.055e-15	7.9895e-15
1.5903e+12	3.1503e-15	7.3452e-15
1.6203e+12	3.3022e-15	7.019e-15
1.6503e+12	4.114e-15	7.1793e-15
1.6803e+12	4.6574e-15	7.1429e-15
1.7103e+12	4.4008e-15	7.2783e-15
1.7403e+12	3.6564e-15	7.7585e-15
1.7704e+12	2.9905e-15	7.7123e-15
1.8004e+12	3.5157e-15	7.2026e-15
1.8304e+12	4.8466e-15	7.157e-15
1.8604e+12	4.5981e-15	7.4065e-15
1.8904e+12	3.4044e-15	7.4541e-15
1.9204e+12	4.7394e-15	7.6707e-15
