#Error on normalization	O = 1.787 %	H = -0.503 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	7.2801e-16	2.6301e-16
8.6232e+10	4.4469e-16	1.6943e-16
1.7246e+11	-1.802e-16	-3.6697e-17
2.587e+11	-6.4697e-16	-1.9183e-16
3.4493e+11	-5.7298e-16	-1.7549e-16
4.3116e+11	2.5846e-18	-6.7602e-18
5.1739e+11	6.4002e-16	1.7266e-16
6.0362e+11	8.3715e-16	2.1487e-16
6.8985e+11	4.2798e-16	8.6436e-17
7.7609e+11	-2.6912e-16	-1.0467e-16
8.6232e+11	-6.7989e-16	-1.9791e-16
9.4855e+11	-4.1583e-16	-1.1189e-16
1.0348e+12	4.0902e-16	8.8474e-17
1.121e+12	1.2429e-15	2.4453e-16
1.2072e+12	1.5122e-15	2.3355e-16
1.2935e+12	1.0774e-15	6.9652e-17
1.3797e+12	3.6763e-16	-1.0683e-16
1.4659e+12	6.1413e-17	-1.4377e-16
1.5522e+12	5.3713e-16	-2.7712e-18
1.6384e+12	1.5224e-15	2.0702e-16
1.7246e+12	2.2528e-15	3.1611e-16
1.8109e+12	2.0701e-15	2.3385e-16
1.8971e+12	1.0228e-15	2.7219e-17
1.9833e+12	-3.1434e-17	-1.2681e-16
2.0696e+12	1.3053e-17	-8.0626e-17
2.1558e+12	1.6281e-15	1.6196e-16
2.242e+12	4.1137e-15	4.3913e-16
2.3283e+12	5.9132e-15	5.4989e-16
2.4145e+12	5.7188e-15	4.1116e-16
2.5007e+12	3.6833e-15	1.3539e-16
2.587e+12	1.838e-15	-3.0832e-17
2.6732e+12	3.2257e-15	1.3453e-16
2.7594e+12	1.0082e-14	6.8306e-16
2.8456e+12	2.211e-14	1.4587e-15
2.9319e+12	3.5987e-14	2.1859e-15
3.0181e+12	4.6621e-14	2.6151e-15
3.1043e+12	4.9592e-14	2.6338e-15
3.1906e+12	4.3496e-14	2.2873e-15
3.2768e+12	3.0819e-14	1.7252e-15
3.363e+12	1.6811e-14	1.1265e-15
3.4493e+12	6.9435e-15	6.4908e-16
3.5355e+12	4.3676e-15	4.0825e-16
3.6217e+12	8.7407e-15	4.6373e-16
3.708e+12	1.6997e-14	8.0225e-16
3.7942e+12	2.5476e-14	1.3303e-15
3.8804e+12	3.2086e-14	1.9035e-15
