#Error on normalization	O = 2.065 %	H = 2.281 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-3.0389e-16	1.4307e-15
1.0791e+11	4.6661e-16	1.3248e-15
2.1583e+11	5.7853e-16	1.2807e-15
3.2374e+11	-5.3667e-16	1.418e-15
4.3165e+11	-3.8605e-17	1.4051e-15
5.3957e+11	7.6997e-16	1.3217e-15
6.4748e+11	-2.1227e-16	1.4459e-15
7.554e+11	-2.8314e-16	1.522e-15
8.6331e+11	9.0091e-16	1.4047e-15
9.7122e+11	3.4996e-16	1.42e-15
1.0791e+12	-2.8785e-16	1.5397e-15
1.1871e+12	9.2704e-16	1.514e-15
1.295e+12	9.8578e-16	1.5538e-15
1.4029e+12	-3.9001e-17	1.7278e-15
1.5108e+12	9.3419e-16	1.6878e-15
1.6187e+12	1.6732e-15	1.5604e-15
1.7266e+12	4.5877e-16	1.697e-15
1.8345e+12	8.9127e-16	1.7988e-15
1.9424e+12	2.3915e-15	1.6394e-15
2.0504e+12	1.5296e-15	1.6115e-15
2.1583e+12	1.1615e-15	1.7304e-15
2.2662e+12	2.7217e-15	1.6461e-15
2.3741e+12	1.999e-15	1.6332e-15
2.482e+12	7.8914e-16	1.9433e-15
2.5899e+12	3.0555e-15	2.0713e-15
2.6978e+12	3.8981e-15	1.9136e-15
2.8058e+12	1.821e-15	2.0574e-15
2.9137e+12	4.0053e-15	2.3959e-15
3.0216e+12	8.5339e-15	2.4032e-15
3.1295e+12	8.3597e-15	2.4323e-15
3.2374e+12	8.402e-15	2.8337e-15
3.3453e+12	1.1897e-14	2.9657e-15
3.4532e+12	1.2764e-14	2.6743e-15
3.5612e+12	1.7358e-14	2.9512e-15
3.6691e+12	3.3798e-14	3.9285e-15
3.777e+12	4.2243e-14	4.2978e-15
3.8849e+12	2.5453e-14	3.5447e-15
3.9928e+12	6.2644e-15	2.7695e-15
4.1007e+12	7.5176e-15	2.7807e-15
4.2086e+12	1.4861e-14	3.0956e-15
4.3165e+12	1.3231e-14	3.1333e-15
4.4245e+12	1.0963e-14	3.021e-15
4.5324e+12	1.2749e-14	3.0212e-15
4.6403e+12	1.3564e-14	3.1265e-15
4.7482e+12	1.4048e-14	3.2743e-15
4.8561e+12	1.4181e-14	3.4064e-15
4.964e+12	1.329e-14	3.4844e-15
5.0719e+12	1.9339e-14	3.6338e-15
5.1799e+12	3.0446e-14	3.8917e-15
5.2878e+12	3.0138e-14	4.0172e-15
5.3957e+12	2.2322e-14	4.0294e-15
5.5036e+12	2.6501e-14	4.2778e-15
5.6115e+12	3.4066e-14	4.6046e-15
5.7194e+12	2.6708e-14	4.5499e-15
5.8273e+12	2.057e-14	4.4108e-15
5.9353e+12	3.3138e-14	4.6788e-15
6.0432e+12	4.3756e-14	4.981e-15
6.1511e+12	3.6458e-14	4.9915e-15
6.259e+12	3.124e-14	5.1225e-15
6.3669e+12	4.0185e-14	5.3296e-15
6.4748e+12	4.7516e-14	5.1846e-15
6.5827e+12	4.717e-14	5.2573e-15
6.6906e+12	4.9602e-14	6.0212e-15
6.7986e+12	5.3129e-14	6.3878e-15
6.9065e+12	4.9554e-14	5.8048e-15
7.0144e+12	4.7092e-14	5.6597e-15
7.1223e+12	5.7135e-14	6.4873e-15
7.2302e+12	7.1488e-14	6.806e-15
7.3381e+12	7.5418e-14	6.1642e-15
7.446e+12	7.2856e-14	5.9818e-15
7.554e+12	7.8748e-14	6.736e-15
7.6619e+12	9.1207e-14	7.3361e-15
7.7698e+12	9.1892e-14	7.1813e-15
7.8777e+12	7.5639e-14	6.7115e-15
7.9856e+12	6.0839e-14	6.5275e-15
8.0935e+12	6.6483e-14	6.9375e-15
8.2014e+12	8.984e-14	7.5979e-15
8.3094e+12	1.0597e-13	7.6744e-15
8.4173e+12	9.1379e-14	6.971e-15
8.5252e+12	5.7935e-14	6.2223e-15
8.6331e+12	4.4876e-14	6.0471e-15
8.741e+12	6.0935e-14	6.3681e-15
8.8489e+12	7.1471e-14	6.6803e-15
8.9568e+12	6.0473e-14	6.5126e-15
9.0647e+12	5.1137e-14	5.9928e-15
9.1727e+12	5.2253e-14	5.6989e-15
9.2806e+12	4.7095e-14	5.6895e-15
9.3885e+12	3.6763e-14	5.5296e-15
9.4964e+12	3.5091e-14	5.2537e-15
9.6043e+12	3.6467e-14	5.2208e-15
9.7122e+12	3.445e-14	5.3729e-15
9.8201e+12	3.8795e-14	5.4828e-15
9.9281e+12	4.7591e-14	5.5734e-15
1.0036e+13	4.6462e-14	5.7696e-15
1.0144e+13	4.0512e-14	6.1399e-15
1.0252e+13	4.3185e-14	6.4472e-15
1.036e+13	4.7272e-14	6.2464e-15
1.0468e+13	4.2243e-14	5.793e-15
1.0576e+13	3.6337e-14	5.8516e-15
1.0683e+13	4.0054e-14	6.2097e-15
1.0791e+13	4.9988e-14	6.1279e-15
1.0899e+13	5.6077e-14	5.9719e-15
1.1007e+13	5.4669e-14	6.3395e-15
1.1115e+13	5.5295e-14	6.8084e-15
1.1223e+13	6.5177e-14	7.1169e-15
1.1331e+13	6.8686e-14	7.4545e-15
1.1439e+13	5.4065e-14	7.3268e-15
1.1547e+13	4.7371e-14	6.7393e-15
1.1655e+13	6.9533e-14	6.9586e-15
1.1763e+13	8.936e-14	7.8178e-15
1.1871e+13	7.7367e-14	7.6024e-15
1.1978e+13	5.9303e-14	6.682e-15
1.2086e+13	6.2373e-14	6.742e-15
1.2194e+13	6.8285e-14	7.1972e-15
1.2302e+13	6.0533e-14	6.9725e-15
1.241e+13	5.551e-14	7.0419e-15
1.2518e+13	6.299e-14	7.7205e-15
1.2626e+13	6.8928e-14	7.7259e-15
1.2734e+13	6.4595e-14	7.2825e-15
1.2842e+13	5.7755e-14	7.4606e-15
1.295e+13	5.7354e-14	7.6157e-15
1.3058e+13	6.1377e-14	7.2805e-15
1.3165e+13	5.977e-14	7.3139e-15
1.3273e+13	5.348e-14	7.475e-15
1.3381e+13	5.7132e-14	7.0876e-15
1.3489e+13	6.767e-14	7.0556e-15
1.3597e+13	6.3657e-14	7.5581e-15
1.3705e+13	5.0865e-14	7.3511e-15
1.3813e+13	5.5496e-14	6.9754e-15
1.3921e+13	6.7962e-14	7.5512e-15
