#Error on normalization	O = 1.090 %	H = 2.675 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	1.1173e-15	6.0019e-15
2.443e+11	8.9697e-16	6.2217e-15
4.886e+11	9.0225e-16	6.5169e-15
7.329e+11	1.8436e-15	6.6409e-15
9.772e+11	3.7773e-15	6.9781e-15
1.2215e+12	6.995e-15	7.4859e-15
1.4658e+12	1.1261e-14	7.6512e-15
1.7101e+12	1.5464e-14	7.7779e-15
1.9544e+12	1.9237e-14	8.5899e-15
2.1987e+12	2.2804e-14	9.622e-15
2.443e+12	2.5698e-14	9.7542e-15
2.6873e+12	2.6886e-14	9.1476e-15
2.9316e+12	2.5782e-14	9.0851e-15
3.1759e+12	2.558e-14	1.0023e-14
3.4202e+12	3.3449e-14	1.1076e-14
3.6645e+12	4.8857e-14	1.1512e-14
3.9088e+12	5.8737e-14	1.1685e-14
4.1531e+12	5.7857e-14	1.202e-14
4.3974e+12	5.9151e-14	1.2148e-14
4.6417e+12	6.8344e-14	1.1948e-14
4.886e+12	7.3151e-14	1.2235e-14
5.1303e+12	7.093e-14	1.3235e-14
5.3746e+12	7.354e-14	1.3891e-14
5.6189e+12	7.8912e-14	1.3798e-14
5.8632e+12	7.5526e-14	1.3802e-14
6.1075e+12	6.8581e-14	1.4067e-14
6.3518e+12	6.6625e-14	1.403e-14
6.5961e+12	6.3941e-14	1.4054e-14
6.8404e+12	6.1238e-14	1.4467e-14
7.0847e+12	6.7438e-14	1.4401e-14
7.329e+12	7.2064e-14	1.3886e-14
7.5733e+12	6.1749e-14	1.4286e-14
7.8176e+12	5.2916e-14	1.5137e-14
8.0619e+12	6.0572e-14	1.4613e-14
8.3062e+12	6.6152e-14	1.3464e-14
8.5505e+12	5.6965e-14	1.3747e-14
8.7948e+12	5.1018e-14	1.4715e-14
9.0391e+12	5.7195e-14	1.4608e-14
9.2834e+12	6.2857e-14	1.4113e-14
9.5277e+12	6.4782e-14	1.4289e-14
9.772e+12	6.5366e-14	1.4456e-14
1.0016e+13	5.8341e-14	1.4471e-14
1.0261e+13	5.1045e-14	1.5336e-14
1.0505e+13	5.9596e-14	1.6905e-14
1.0749e+13	7.0154e-14	1.8064e-14
1.0993e+13	5.9968e-14	1.8278e-14
1.1238e+13	4.5656e-14	1.7365e-14
1.1482e+13	5.1941e-14	1.5873e-14
1.1726e+13	6.3677e-14	1.544e-14
1.1971e+13	5.9945e-14	1.6319e-14
1.2215e+13	5.1603e-14	1.6637e-14
1.2459e+13	5.1057e-14	1.5982e-14
1.2704e+13	5.2991e-14	1.6057e-14
1.2948e+13	5.6275e-14	1.6884e-14
1.3192e+13	6.171e-14	1.681e-14
1.3436e+13	5.9674e-14	1.5979e-14
1.3681e+13	5.0927e-14	1.5776e-14
1.3925e+13	5.0405e-14	1.6201e-14
1.4169e+13	5.6751e-14	1.6534e-14
1.4414e+13	5.6351e-14	1.6649e-14
1.4658e+13	5.2197e-14	1.6618e-14
1.4902e+13	5.1352e-14	1.6702e-14
1.5147e+13	4.6456e-14	1.7145e-14
1.5391e+13	3.7619e-14	1.7316e-14
1.5635e+13	3.7357e-14	1.6808e-14
1.5879e+13	4.116e-14	1.6596e-14
1.6124e+13	3.4827e-14	1.6999e-14
1.6368e+13	2.6544e-14	1.6876e-14
1.6612e+13	3.0067e-14	1.6272e-14
1.6857e+13	3.5169e-14	1.6335e-14
1.7101e+13	2.984e-14	1.6545e-14
1.7345e+13	2.329e-14	1.6022e-14
1.759e+13	2.328e-14	1.589e-14
1.7834e+13	2.2901e-14	1.6748e-14
1.8078e+13	2.0149e-14	1.7069e-14
1.8322e+13	2.0391e-14	1.6495e-14
1.8567e+13	2.1449e-14	1.6453e-14
1.8811e+13	1.9452e-14	1.682e-14
1.9055e+13	1.7821e-14	1.6593e-14
1.93e+13	1.7231e-14	1.6673e-14
1.9544e+13	1.4027e-14	1.778e-14
1.9788e+13	1.1405e-14	1.8273e-14
2.0033e+13	1.3618e-14	1.7321e-14
2.0277e+13	1.5347e-14	1.6603e-14
2.0521e+13	1.2428e-14	1.6847e-14
2.0765e+13	1.0249e-14	1.6706e-14
2.101e+13	1.1357e-14	1.5976e-14
2.1254e+13	1.105e-14	1.5936e-14
2.1498e+13	9.0271e-15	1.6393e-14
2.1743e+13	9.1974e-15	1.6094e-14
2.1987e+13	1.0138e-14	1.5529e-14
2.2231e+13	8.9526e-15	1.5888e-14
2.2476e+13	7.8177e-15	1.6349e-14
2.272e+13	8.2177e-15	1.5826e-14
2.2964e+13	7.892e-15	1.5575e-14
2.3208e+13	6.7526e-15	1.6513e-14
2.3453e+13	6.6273e-15	1.6732e-14
2.3697e+13	6.5799e-15	1.5407e-14
2.3941e+13	5.6453e-15	1.5076e-14
2.4186e+13	5.3588e-15	1.6427e-14
2.443e+13	5.6944e-15	1.6419e-14
2.4674e+13	4.9649e-15	1.4612e-14
2.4919e+13	4.034e-15	1.4378e-14
2.5163e+13	4.3769e-15	1.5891e-14
2.5407e+13	4.7302e-15	1.5786e-14
2.5651e+13	4.1981e-15	1.4174e-14
2.5896e+13	4.0206e-15	1.4036e-14
2.614e+13	4.2667e-15	1.5e-14
2.6384e+13	3.8832e-15	1.4777e-14
2.6629e+13	3.4302e-15	1.3996e-14
2.6873e+13	3.6129e-15	1.4243e-14
2.7117e+13	3.667e-15	1.4882e-14
2.7362e+13	3.4435e-15	1.4964e-14
