#Error on normalization	O = -1.296 %	H = 4.550 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.0733e-16	9.6756e-17
3.1381e+11	1.2706e-17	1.1053e-16
6.2762e+11	-2.6219e-16	1.2549e-16
9.4142e+11	3.2792e-16	1.5437e-16
1.2552e+12	1.0078e-15	1.9535e-16
1.569e+12	5.0835e-16	1.6041e-16
1.8828e+12	2.9897e-16	1.4636e-16
2.1967e+12	1.9883e-15	2.9948e-16
2.5105e+12	2.8045e-15	3.813e-16
2.8243e+12	1.2784e-15	2.4995e-16
3.1381e+12	3.2976e-15	3.3894e-16
3.4519e+12	1.2458e-14	8.1905e-16
3.7657e+12	2.0934e-14	1.1531e-15
4.0795e+12	2.0244e-14	1.0579e-15
4.3933e+12	1.3029e-14	8.2829e-16
4.7071e+12	6.6088e-15	6.3236e-16
5.0209e+12	4.2767e-15	4.8349e-16
5.3347e+12	6.4077e-15	5.0674e-16
5.6485e+12	1.0338e-14	6.1717e-16
5.9623e+12	1.007e-14	5.8551e-16
6.2762e+12	4.6447e-15	4.8118e-16
6.59e+12	1.1013e-15	4.4923e-16
6.9038e+12	2.6696e-15	4.4664e-16
7.2176e+12	4.0265e-15	4.7777e-16
7.5314e+12	2.7246e-15	5.5185e-16
7.8452e+12	2.6448e-15	5.7336e-16
8.159e+12	4.0281e-15	5.9116e-16
8.4728e+12	3.5363e-15	6.7459e-16
8.7866e+12	3.0494e-15	6.9934e-16
9.1004e+12	5.7003e-15	7.2002e-16
9.4142e+12	8.3894e-15	9.1133e-16
9.728e+12	8.6947e-15	1.0708e-15
1.0042e+13	9.7855e-15	1.0616e-15
1.0356e+13	1.2726e-14	1.2304e-15
1.0669e+13	1.7245e-14	1.7043e-15
1.0983e+13	2.7472e-14	2.209e-15
1.1297e+13	3.9844e-14	2.5687e-15
1.1611e+13	3.9904e-14	2.5287e-15
1.1925e+13	3.0779e-14	2.0927e-15
1.2238e+13	3.59e-14	2.1579e-15
1.2552e+13	5.3604e-14	2.935e-15
1.2866e+13	5.3546e-14	3.0182e-15
1.318e+13	3.5389e-14	2.2357e-15
1.3494e+13	3.3205e-14	2.3991e-15
1.3808e+13	5.005e-14	3.4282e-15
1.4121e+13	5.3095e-14	3.2639e-15
1.4435e+13	3.6254e-14	2.1865e-15
1.4749e+13	2.4442e-14	2.0148e-15
1.5063e+13	2.5141e-14	2.3103e-15
1.5377e+13	2.8136e-14	2.1473e-15
1.569e+13	3.1085e-14	2.4219e-15
1.6004e+13	3.1084e-14	3.1224e-15
1.6318e+13	2.3209e-14	2.879e-15
1.6632e+13	1.8731e-14	2.2626e-15
1.6946e+13	2.7146e-14	2.6409e-15
1.7259e+13	3.2111e-14	3.104e-15
1.7573e+13	2.1905e-14	2.6307e-15
1.7887e+13	1.3314e-14	2.2271e-15
1.8201e+13	1.6808e-14	2.4967e-15
1.8515e+13	1.9519e-14	2.7755e-15
1.8828e+13	1.7612e-14	3.0175e-15
1.9142e+13	2.0899e-14	3.3989e-15
