#Error on normalization	O = 16.180 %	H = -7.813 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	5.7021e-15	3.9196e-16
1.834e+10	5.0812e-15	3.5335e-16
3.6679e+10	3.354e-15	2.4579e-16
5.5019e+10	8.9748e-16	9.2248e-17
7.3359e+10	-1.7518e-15	-7.4528e-17
9.1698e+10	-4.0152e-15	-2.191e-16
1.1004e+11	-5.3976e-15	-3.1097e-16
1.2838e+11	-5.596e-15	-3.3114e-16
1.4672e+11	-4.5654e-15	-2.762e-16
1.6506e+11	-2.5287e-15	-1.5896e-16
1.834e+11	7.1437e-17	-5.6463e-18
2.0174e+11	2.6691e-15	1.4985e-16
2.2008e+11	4.6986e-15	2.7336e-16
2.3842e+11	5.718e-15	3.3788e-16
2.5676e+11	5.5056e-15	3.2944e-16
2.7509e+11	4.1091e-15	2.501e-16
2.9343e+11	1.835e-15	1.175e-16
3.1177e+11	-8.1734e-16	-3.9031e-17
3.3011e+11	-3.2646e-15	-1.8489e-16
3.4845e+11	-4.9667e-15	-2.878e-16
3.6679e+11	-5.5453e-15	-3.2483e-16
3.8513e+11	-4.8662e-15	-2.8747e-16
4.0347e+11	-3.0701e-15	-1.8349e-16
4.2181e+11	-5.4235e-16	-3.5288e-17
4.4015e+11	2.1706e-15	1.2502e-16
4.5849e+11	4.4797e-15	2.6256e-16
4.7683e+11	5.8823e-15	3.4737e-16
4.9517e+11	6.072e-15	3.6094e-16
5.1351e+11	5.0063e-15	3.0029e-16
5.3185e+11	2.9172e-15	1.787e-16
5.5019e+11	2.6126e-16	2.2811e-17
5.6853e+11	-2.3792e-15	-1.3311e-16
5.8687e+11	-4.4228e-15	-2.5469e-16
6.0521e+11	-5.416e-15	-3.1491e-16
6.2355e+11	-5.1331e-15	-3.0011e-16
6.4189e+11	-3.6264e-15	-2.1296e-16
6.6023e+11	-1.216e-15	-7.2004e-17
6.7857e+11	1.5787e-15	9.2392e-17
6.9691e+11	4.1522e-15	2.4459e-16
7.1525e+11	5.9441e-15	3.5147e-16
7.3359e+11	6.5627e-15	3.8971e-16
7.5193e+11	5.8715e-15	3.509e-16
7.7027e+11	4.0203e-15	2.435e-16
7.886e+11	1.4142e-15	9.1041e-17
8.0694e+11	-1.3732e-15	-7.2913e-17
8.2528e+11	-3.725e-15	-2.1209e-16
8.4362e+11	-5.115e-15	-2.9542e-16
8.6196e+11	-5.2243e-15	-3.0386e-16
8.803e+11	-4.0123e-15	-2.3467e-16
8.9864e+11	-1.7272e-15	-1.0206e-16
9.1698e+11	1.1458e-15	6.5766e-17
9.3532e+11	3.9893e-15	2.3275e-16
9.5366e+11	6.1884e-15	3.6279e-16
9.72e+11	7.2653e-15	4.2773e-16
9.9034e+11	6.9857e-15	4.1351e-16
1.0087e+12	5.4119e-15	3.2344e-16
1.027e+12	2.8926e-15	1.7757e-16
1.0454e+12	-1.1603e-17	8.44e-18
1.0637e+12	-2.649e-15	-1.4599e-16
1.082e+12	-4.4192e-15	-2.506e-16
1.1004e+12	-4.9058e-15	-2.8092e-16
1.1187e+12	-3.97e-15	-2.2859e-16
1.1371e+12	-1.7849e-15	-1.0339e-16
1.1554e+12	1.1985e-15	6.8663e-17
1.1737e+12	4.3467e-15	2.5088e-16
1.1921e+12	6.9803e-15	4.0379e-16
1.2104e+12	8.522e-15	4.938e-16
1.2288e+12	8.6253e-15	5.0067e-16
1.2471e+12	7.2535e-15	4.221e-16
1.2654e+12	4.693e-15	2.7458e-16
1.2838e+12	1.496e-15	9.0019e-17
1.3021e+12	-1.636e-15	-9.0942e-17
1.3205e+12	-4.0022e-15	-2.277e-16
1.3388e+12	-5.0554e-15	-2.885e-16
1.3571e+12	-4.5231e-15	-2.5753e-16
1.3755e+12	-2.4711e-15	-1.3856e-16
1.3938e+12	7.0496e-16	4.5519e-17
1.4122e+12	4.3609e-15	2.5742e-16
1.4305e+12	7.7391e-15	4.5325e-16
1.4488e+12	1.0131e-14	5.9197e-16
1.4672e+12	1.103e-14	6.4422e-16
1.4855e+12	1.0245e-14	5.9886e-16
1.5039e+12	7.9453e-15	4.6562e-16
1.5222e+12	4.6287e-15	2.7318e-16
1.5405e+12	1.0186e-15	6.3293e-17
1.5589e+12	-2.0898e-15	-1.1813e-16
1.5772e+12	-3.9997e-15	-2.3085e-16
1.5955e+12	-4.2651e-15	-2.4906e-16
1.6139e+12	-2.79e-15	-1.6709e-16
1.6322e+12	1.4679e-16	-8.3194e-19
1.6506e+12	3.9475e-15	2.1549e-16
1.6689e+12	7.8215e-15	4.366e-16
1.6872e+12	1.0955e-14	6.1589e-16
1.7056e+12	1.2687e-14	7.156e-16
1.7239e+12	1.2658e-14	7.1509e-16
1.7423e+12	1.0887e-14	6.1559e-16
1.7606e+12	7.7793e-15	4.4018e-16
1.7789e+12	4.0369e-15	2.2896e-16
1.7973e+12	5.1288e-16	3.041e-17
1.8156e+12	-1.9757e-15	-1.0913e-16
1.834e+12	-2.8282e-15	-1.5582e-16
1.8523e+12	-1.7966e-15	-9.5997e-17
1.8706e+12	9.5303e-16	6.0412e-17
1.889e+12	4.8694e-15	2.8166e-16
1.9073e+12	9.1308e-15	5.2084e-16
1.9257e+12	1.2823e-14	7.2611e-16
1.944e+12	1.5144e-14	8.5232e-16
1.9623e+12	1.5588e-14	8.715e-16
1.9807e+12	1.4074e-14	7.8002e-16
1.999e+12	1.0982e-14	6.0047e-16
2.0174e+12	7.0918e-15	3.78e-16
2.0357e+12	3.4305e-15	1.7152e-16
2.054e+12	1.0612e-15	4.1497e-17
2.0724e+12	8.5437e-16	3.6952e-17
2.0907e+12	3.2906e-15	1.8438e-16
2.1091e+12	8.3403e-15	4.8101e-16
2.1274e+12	1.5447e-14	8.9413e-16
2.1457e+12	2.3625e-14	1.3667e-15
2.1641e+12	3.1648e-14	1.8286e-15
2.1824e+12	3.8309e-14	2.2109e-15
2.2008e+12	4.2679e-14	2.4613e-15
2.2191e+12	4.4329e-14	2.5559e-15
2.2374e+12	4.3461e-14	2.5066e-15
2.2558e+12	4.0912e-14	2.3615e-15
2.2741e+12	3.8031e-14	2.1972e-15
2.2925e+12	3.6454e-14	2.1059e-15
2.3108e+12	3.7795e-14	2.1781e-15
2.3291e+12	4.3339e-14	2.4854e-15
2.3475e+12	5.3771e-14	3.0647e-15
2.3658e+12	6.9006e-14	3.9098e-15
2.3842e+12	8.8156e-14	4.9695e-15
2.4025e+12	1.0963e-13	6.1536e-15
2.4208e+12	1.3138e-13	7.3467e-15
2.4392e+12	1.5118e-13	8.4258e-15
2.4575e+12	1.67e-13	9.2793e-15
2.4759e+12	1.7731e-13	9.8245e-15
2.4942e+12	1.813e-13	1.0019e-14
2.5125e+12	1.7894e-13	9.8673e-15
2.5309e+12	1.71e-13	9.4145e-15
2.5492e+12	1.5884e-13	8.7399e-15
2.5676e+12	1.4417e-13	7.9404e-15
2.5859e+12	1.2877e-13	7.1147e-15
2.6042e+12	1.1418e-13	6.3472e-15
2.6226e+12	1.0153e-13	5.6971e-15
2.6409e+12	9.1413e-14	5.1924e-15
2.6592e+12	8.388e-14	4.8306e-15
2.6776e+12	7.8549e-14	4.5847e-15
2.6959e+12	7.4773e-14	4.414e-15
2.7143e+12	7.1836e-14	4.2748e-15
2.7326e+12	6.9139e-14	4.1317e-15
2.7509e+12	6.6321e-14	3.9643e-15
2.7693e+12	6.3309e-14	3.7699e-15
2.7876e+12	6.0287e-14	3.5617e-15
2.806e+12	5.7593e-14	3.3627e-15
2.8243e+12	5.5588e-14	3.1978e-15
2.8426e+12	5.4518e-14	3.086e-15
2.861e+12	5.4417e-14	3.0342e-15
2.8793e+12	5.5074e-14	3.0349e-15
2.8977e+12	5.6068e-14	3.0679e-15
2.916e+12	5.6867e-14	3.1054e-15
2.9343e+12	5.6966e-14	3.1194e-15
2.9527e+12	5.6028e-14	3.0899e-15
2.971e+12	5.3999e-14	3.0102e-15
2.9894e+12	5.1145e-14	2.8909e-15
3.0077e+12	4.8027e-14	2.7575e-15
3.026e+12	4.5389e-14	2.6456e-15
3.0444e+12	4.3993e-14	2.5923e-15
3.0627e+12	4.444e-14	2.6271e-15
3.0811e+12	4.7006e-14	2.7633e-15
3.0994e+12	5.1544e-14	2.993e-15
3.1177e+12	5.7479e-14	3.287e-15
3.1361e+12	6.3893e-14	3.5996e-15
3.1544e+12	6.9707e-14	3.8774e-15
3.1728e+12	7.3903e-14	4.0713e-15
3.1911e+12	7.5769e-14	4.1479e-15
3.2094e+12	7.5081e-14	4.0996e-15
3.2278e+12	7.2214e-14	3.9485e-15
3.2461e+12	6.8122e-14	3.7453e-15
3.2645e+12	6.4204e-14	3.5617e-15
3.2828e+12	6.2069e-14	3.4779e-15
3.3011e+12	6.3237e-14	3.5674e-15
3.3195e+12	6.8845e-14	3.8818e-15
3.3378e+12	7.9398e-14	4.4399e-15
3.3562e+12	9.4641e-14	5.2217e-15
3.3745e+12	1.1356e-13	6.1704e-15
3.3928e+12	1.3454e-13	7.2009e-15
3.4112e+12	1.5561e-13	8.2144e-15
3.4295e+12	1.748e-13	9.1162e-15
3.4479e+12	1.9047e-13	9.8328e-15
3.4662e+12	2.016e-13	1.0325e-14
3.4845e+12	2.0799e-13	1.0596e-14
3.5029e+12	2.1022e-13	1.0688e-14
3.5212e+12	2.0959e-13	1.0675e-14
3.5396e+12	2.078e-13	1.065e-14
3.5579e+12	2.0665e-13	1.07e-14
3.5762e+12	2.0768e-13	1.0897e-14
3.5946e+12	2.1188e-13	1.1276e-14
3.6129e+12	2.1947e-13	1.183e-14
3.6313e+12	2.2993e-13	1.2514e-14
3.6496e+12	2.4204e-13	1.3249e-14
3.6679e+12	2.5418e-13	1.394e-14
3.6863e+12	2.6466e-13	1.4493e-14
3.7046e+12	2.72e-13	1.4832e-14
3.7229e+12	2.7525e-13	1.4917e-14
3.7413e+12	2.7418e-13	1.4746e-14
3.7596e+12	2.6924e-13	1.4359e-14
3.778e+12	2.6149e-13	1.3826e-14
3.7963e+12	2.5234e-13	1.3232e-14
3.8146e+12	2.4326e-13	1.2663e-14
3.833e+12	2.3543e-13	1.2185e-14
3.8513e+12	2.2951e-13	1.1832e-14
3.8697e+12	2.2551e-13	1.1601e-14
3.888e+12	2.2281e-13	1.1453e-14
3.9063e+12	2.2026e-13	1.1321e-14
3.9247e+12	2.1652e-13	1.1131e-14
3.943e+12	2.1031e-13	1.0811e-14
3.9614e+12	2.0078e-13	1.0317e-14
3.9797e+12	1.8769e-13	9.6365e-15
3.998e+12	1.7156e-13	8.7996e-15
4.0164e+12	1.5358e-13	7.872e-15
4.0347e+12	1.355e-13	6.9453e-15
4.0531e+12	1.1922e-13	6.1202e-15
4.0714e+12	1.0654e-13	5.4875e-15
4.0897e+12	9.8756e-14	5.1109e-15
4.1081e+12	9.6455e-14	5.0148e-15
4.1264e+12	9.9359e-14	5.1789e-15
4.1448e+12	1.0638e-13	5.5417e-15
4.1631e+12	1.1583e-13	6.0116e-15
4.1814e+12	1.2566e-13	6.4834e-15
4.1998e+12	1.3391e-13	6.8571e-15
4.2181e+12	1.3899e-13	7.0556e-15
4.2365e+12	1.3997e-13	7.0377e-15
4.2548e+12	1.3672e-13	6.8038e-15
4.2731e+12	1.2991e-13	6.3942e-15
